가게 이름,카테고리,가게 주소
미가라멘 성대본점,일본식라면,경기 수원시 장안구 서부로2106번길 38-2 1층
명가양꼬치,양꼬치,경기 수원시 장안구 서부로2105번길 21
자명문,"카페,디저트",경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호
하삼동커피 수원성균관대점,카페,경기 수원시 장안구 서부로2126번길 17 A동 상가3호
천포 천천점,낙지요리,경기 수원시 장안구 덕영대로511번길 29-15
메가MGC커피 수원천천푸르지오점,카페,경기 수원시 장안구 정자천로13번길 13-1
수해복마라탕 성대점,중식당,경기 수원시 장안구 서부로2105번길 7 1층
팔각도 수원정자점,닭갈비,"경기 수원시 장안구 대평로90번길 32 1층 119호, 120호, 126호"
런던베이글뮤지엄 수원,베이커리,"경기 수원시 장안구 수성로 175 , 2층"
오도르 케이크,케이크전문,경기 수원시 권선구 일월천로4번길 74 성원아파트 상가건물 205호 오도르케이크
뚜레쥬르 수원천천푸르지오점,베이커리,경기 수원시 장안구 정자천로13번길 15 1층 뚜레쥬르 수원천천푸르지오점
컴포즈커피 수원성균관대점,카페,경기 수원시 장안구 서부로 2123 1층 102호
더맛있는족발보쌈 수원천천점,"족발,보쌈",경기 수원시 장안구 덕영대로511번길 37-21 1층
우지커피 수원성균관대점,"카페,디저트",경기 수원시 장안구 서부로 2129-1 1층 107호 우지커피 수원성균관대점
낙지대감 화서역점,낙지요리,경기 수원시 팔달구 수성로157번길 27-21 1층
아웃백스테이크하우스 수원스타필드점,패밀리레스토랑,경기 수원시 장안구 수성로 175 스타필드 수원점 7층
라잌댓,"카페,디저트",경기 수원시 장안구 덕영대로445번길 12
오리엔탈가든,아시아음식,경기 수원시 장안구 만석로19번길 11-7 111호 대일
미진축산 수원성대점,"육류,고기요리",경기 수원시 장안구 율전로108번길 23 1층
스시사부,"초밥,롤",경기 수원시 장안구 서부로2123번길 27 1층 103호
휘미관,한식,경기 수원시 장안구 서부로2105번길 29 1층 휘미관
양지촌,양꼬치,경기 수원시 장안구 화산로213번길 25 1층 양지촌
마라영웅 수원장안점,중식당,경기 수원시 장안구 만석로5번길 12-10 2층 마라영웅 수원장안점
어슬청담 수원스타필드,한식,경기 수원시 장안구 수성로 175 2층 2328호
홍구등갈비 본점,"육류,고기요리",경기 수원시 장안구 서부로2168번길 5-13 1층
산들쌈채,한식,경기 수원시 권선구 일월천로4번길 13
윤실장초밥 성대점,"초밥,롤",경기 수원시 장안구 서부로2105번길 13 101호
동대문엽기떡볶이 수원성대점,분식,경기 수원시 장안구 서부로 2132 1층 동대문엽기떡볶이
혼마초밥,"초밥,롤",경기 수원시 팔달구 덕영대로697번길 7 아트프라자 1층 혼마초밥
테라커피 수원화서점,"카페,디저트",경기 수원시 팔달구 일월로42번길 14-28 1층 테라커피 수원화서점
롯데리아 수원율현점,햄버거,경기 수원시 팔달구 일월로22번길 4
장궁순대국 본점,"순대,순댓국",경기 수원시 권선구 수인로 261 1층 장궁순대국
모도리육회 일월본점,"육류,고기요리",경기 수원시 권선구 일월천로15번길 6-5 1층
강테이블,이탈리아음식,경기 수원시 팔달구 일월로42번길 14-6 1층
면식당 수원성균관대점,일식당,경기 수원시 장안구 서부로2106번길 18 2층
나나쓰플라워케이크,케이크전문,경기 수원시 장안구 일월로82번길 19-9 101호
사루야 성대점,이자카야,경기 수원시 장안구 율전로98번길 6-6 1층
벽돌해피푸드 스타필드 수원점,중식당,경기 수원시 장안구 수성로 175 2층 2322호
바울아저씨 수원화서점,피자,경기 수원시 팔달구 정자천로14번길 56 성보빌딩 109-1호
키와마루아지 성균관대점,일본식라면,경기 수원시 장안구 서부로2105번길 26-3 1층 키와마루아지
대성장,중식당,경기 수원시 장안구 서부로2181번길 46-6
화산옥,오리요리,경기 수원시 팔달구 수성로157번길 27-13 1층
소담촌 수원정자점,샤브샤브,경기 수원시 장안구 정자천로 171 경성빌딩 4층
더벤티 수원율전점,카페,경기 수원시 장안구 서부로2123번길 33 운화빌딩 1층
메가MGC커피 화서역브리시엘점,카페,경기 수원시 장안구 수성로157번길 60 1층 126호
무대뽀핫도그 성대점,핫도그,경기 수원시 장안구 서부로2106번길 17
곱분이곱창 성균관대점,"곱창,막창,양",경기 수원시 장안구 서부로2123번길 20-1 B동 101호
투썸플레이스 수원화서역점,카페,경기 수원시 팔달구 수성로157번길 59 1층
옥돌해세꼬시,생선회,경기 수원시 팔달구 수성로157번길 41-18
메가엠지씨커피 화서꽃뫼사거리점,카페,경기 수원시 팔달구 화산로 6 1층
스타벅스 스타필드수원1F점,카페,경기 수원시 장안구 수성로 175 (정자동)
가장맛있는뒷고기 천천점,돼지고기구이,경기 수원시 장안구 덕영대로511번길 29-16
FAFAS,"카페,디저트",경기 수원시 장안구 서부로2105번길 13 8 층
대동집 수원성균관대점,요리주점,경기 수원시 장안구 율전로108번길 15
금금 스타필드 수원점,한식,경기 수원시 장안구 수성로 175 스타필드 수원 7층
메가MGC커피 수원율전점,"카페,디저트",경기 수원시 장안구 서부로2105번길 16-4
백령도바지락칼국수,"칼국수,만두",경기 수원시 장안구 화산로233번길 49 2층
해랑어시장,생선회,경기 수원시 권선구 일월천로10번길 15
세이유쌀국수,베트남음식,경기 수원시 장안구 덕영대로511번길 29-7 1층
옥집,요리주점,"경기 수원시 장안구 율전로108번길 20 2층 201호,202호(율전동)"
맘스터치 BEEF 수원성균관대점,햄버거,경기 수원시 장안구 서부로 2128
이디야커피 일월수목원점,카페,"경기 수원시 장안구 일월로 68 1층, 2층"
블루포트 성균관대 공학관점,"카페,디저트",경기 수원시 장안구 서부로 2066 제1공학관 1층 카페 블루포트
유유진진,브런치,경기 수원시 장안구 덕영대로497번길 14-17 1층 카페 유유진진
포메인 천천점,베트남음식,경기 수원시 장안구 만석로19번길 25-6 광장프라자 302호
해품짬 본점,중식당,경기 수원시 장안구 정자로 16-1
중화반점 수원정자점,중식당,경기 수원시 장안구 정자천로 171 1층
빠우 스타필드 수원점,도넛,경기 수원시 장안구 수성로 175 스타필드 수원 7층 7182호
갓덴스시 스타필드 수원점,"초밥,롤",경기 수원시 장안구 수성로 175 7F 잇토피아
와룡각,중식당,경기 수원시 권선구 일월천로4번길 7-3 와룡각
소곱친구 화서역점,"곱창,막창,양",경기 수원시 팔달구 수성로157번길 27-4 102호
마장동 정육식당,정육식당,경기 수원시 팔달구 수성로157번길 5-15
히닭발,한식,경기 수원시 장안구 율전로98번길 18-4 1층 히닭발
국수파동,국수,경기 수원시 장안구 화산로233번길 64 1층
초가집,낙지요리,경기 수원시 권선구 서수원로594번길 260
삼구포차 수원성대점,포장마차,경기 수원시 장안구 화산로233번길 52
송담추어탕 본점,추어탕,경기 수원시 권선구 구운로86번길 23
곤드레마을,한식,경기 수원시 장안구 덕영대로497번길 22-12 1층 곤드레마을
커피빈 성균관대자연과학캠퍼스점,카페,경기 수원시 장안구 서부로 2066 성균관대 자연과학 캠퍼스 N센터 1층
오유니통닭 수원성대점,"치킨,닭강정",경기 수원시 장안구 서부로 2125 1층
한솥도시락 수원성대점,"도시락,컵밥",경기 수원시 장안구 서부로 2112
장수촌 천천점,"백숙,삼계탕",경기 수원시 장안구 정자로 14 1층
삼봉집,"육류,고기요리",경기 수원시 장안구 덕영대로511번길 29-12
굴예찬&갑오징어 구운점,"해물,생선요리",경기 수원시 권선구 일월천로15번길 6-3
뚜레쥬르 수원정자점,베이커리,경기 수원시 장안구 대평로 80 정연메이져빌딩 1F
삼대째손두부 본점,두부요리,경기 수원시 장안구 화산로 108
파리바게뜨 성균관대점,베이커리,경기 수원시 장안구 서부로 2135 (율전동 286-4)
루미네숯불닭갈비,닭갈비,경기 수원시 장안구 서부로2135번길 13 1층
카페라르고,"카페,디저트",경기 수원시 팔달구 수성로 100 카페 라르고
춘리마라탕 수원정자점,마라탕,경기 수원시 장안구 정자천로173번길 11-7 3층 301호
디저트39 화서역점,카페,경기 수원시 팔달구 수성로157번길 1 1층
동네아저씨 수원성아치점,"치킨,닭강정",경기 수원시 장안구 서부로2123번길 29 기인빌딩 2층
커피주택,"카페,디저트",경기 수원시 팔달구 일월로42번길 8-15 1층
한장어,"장어,먹장어요리",경기 수원시 권선구 수인로452번길 10-15
라펠리나,베이커리,경기 수원시 장안구 덕영대로497번길 14-11 1층
먹거리고을,요리주점,경기 수원시 장안구 서부로2126번길 10 용추골순대
빈인더샵 로스터스,"카페,디저트",경기 수원시 팔달구 일월로42번길 8-7 1층
블랙스미스,양식,경기 수원시 장안구 화산로233번길 47 2층
황소곱창구이,"곱창,막창,양",경기 수원시 권선구 일월천로10번길 33
육전국밥 수원화서역점,국밥,경기 수원시 팔달구 수성로157번길 43
백억커피 서수원점,"카페,디저트",경기 수원시 장안구 서부로2106번길 26-3 1층 102호
카페코지 수원점,"카페,디저트",경기 수원시 장안구 덕영대로511번길 37-14 1층
맘스터치 BEEF 수원천천점,햄버거,경기 수원시 장안구 만석로19번길 35
효뜨 스타필드수원점,베트남음식,경기 수원시 장안구 수성로 175 2층 효뜨
좋은아침페스츄리 화서역대유평공원점,베이커리,경기 수원시 장안구 수성로 195 111CM A동
김영희동태찜&코다리냉면 화서점,"해물,생선요리",경기 수원시 팔달구 수성로157번길 5-23
롯데리아 수원정자점,햄버거,경기 수원시 장안구 정자천로173번길 17 107호
양푼동태탕,"매운탕,해물탕",경기 수원시 장안구 서부로2168번길 13-10
롤링파스타 수원성균관대점,"스파게티,파스타전문",경기 수원시 장안구 서부로 2125 2층
플랑플레,"카페,디저트",경기 수원시 장안구 율전로108번길 10-1 1층
부라보쪽갈비 성대점,"육류,고기요리",경기 수원시 장안구 화산로233번길 10 1층 부라보쪽갈비
Poke all day 포케&샐러드 수원성대점,"다이어트,샐러드",경기 수원시 장안구 서부로2105번길 12 2층
동수원소금구이,"육류,고기요리",경기 수원시 권선구 구운로86번길 29
배스킨라빈스 수원화서,아이스크림,경기 수원시 팔달구 일월로22번길 14 한샘빌딩
봉구스밥버거 천천점,분식,경기 수원시 장안구 덕영대로535번길 34
마라섬 정자직영점,마라탕,경기 수원시 장안구 정자천로173번길 11-10 203호
