id,name,address,lat,lng,category,created_at,updated_at
59,애슐리퀸즈 이마트서수원점,경기 수원시 권선구 수인로 291 1층,37.28262996578,126.97014551047,패밀리레스토랑,2026-06-20,2026-06-20
60,전율,경기 수원시 장안구 율전로 93 101호 1층,37.2977395027404,126.968516209488,카페,2026-06-20,2026-06-20
61,부현숯불돼지갈비,경기 수원시 장안구 일월로66번길 1,37.2887470489686,126.977584737517,돼지고기구이,2026-06-20,2026-06-20
62,연해물찜 칼국수,경기 수원시 장안구 정자로 8 1층 연해물찜칼국수,37.2997432911234,126.977958190256,"아귀찜,해물찜",2026-06-20,2026-06-20
63,월드오징어바다 성대점,경기 수원시 장안구 서부로2105번길 11 1층,37.2966911591174,126.96959994191,생선회,2026-06-20,2026-06-20
64,무지개맥주 성균관대점,경기 수원시 장안구 서부로2123번길 20 102호,37.2984883259364,126.970144432076,"맥주,호프",2026-06-20,2026-06-20
65,투썸플레이스 수원율전점,경기 수원시 장안구 서부로 2161,37.3013009313209,126.972453965401,카페,2026-06-20,2026-06-20
66,디저트39 성대점,경기 수원시 장안구 화산로213번길 23,37.298626400695,126.972524868969,카페,2026-06-20,2026-06-20
67,써브웨이 수원천천점,"경기 수원시 장안구 만석로19번길 11-2 1층 4, 5, 6호",37.2960836309819,126.983431181687,샌드위치,2026-06-20,2026-06-20
68,도키도키,경기 수원시 팔달구 일월로42번길 8-21 1층 102호,37.2861988779168,126.979904472608,이자카야,2026-06-20,2026-06-20
69,상록회관 연탄구이 성균관대역점,경기 수원시 장안구 서부로 2144 1층,37.2994223724071,126.97289745861,"육류,고기요리",2026-06-20,2026-06-20
70,배스킨라빈스 수원성대점,경기 수원시 장안구 서부로 2119 1층,37.2978864143521,126.970790822823,아이스크림,2026-06-20,2026-06-20
71,경기수산직판장,경기 수원시 장안구 율전로97번길 4 경기수산직판장,37.2981261806283,126.968678009996,생선회,2026-06-20,2026-06-20
72,램공방,경기 수원시 장안구 정자로 12 1층 램공방 양꼬치,37.2998380356941,126.978204494306,양꼬치,2026-06-20,2026-06-20
73,샵도쿄시장 수원성대점,경기 수원시 장안구 율전로108번길 20 2층 203호,37.2987322842357,126.970333818796,이자카야,2026-06-20,2026-06-20
74,고기굽는교실,경기 수원시 권선구 일월천로4번길 46 연안빌딩 1층,37.2823189996099,126.974712651174,"육류,고기요리",2026-06-20,2026-06-20
75,화이트리에 천천지구점,경기 수원시 장안구 덕영대로535번길 28 1층 109호,37.2969978564537,126.981815674405,베이커리,2026-06-20,2026-06-20
76,롯데리아 수원성대,경기 수원시 장안구 서부로 2119 농협,37.2978864143521,126.970790822823,햄버거,2026-06-20,2026-06-20
77,스시하루 화서역점,경기 수원시 장안구 수성로157번길 60 1층 123호,37.2888187368683,126.989734067259,"초밥,롤",2026-06-20,2026-06-20
78,본찌돈까스 성대점,경기 수원시 장안구 서부로2106번길 22,37.297145137269,126.971555680442,돈가스,2026-06-20,2026-06-20
79,피자헛 천천점,경기 수원시 장안구 정자천로13번길 41-3 (천천동 325-19),37.2905673654028,126.97827708956,피자,2026-06-20,2026-06-20
80,정성식탁,경기 수원시 장안구 서부로2136번길 9 1층 정성식탁,37.2988036108883,126.972812187555,이탈리아음식,2026-06-20,2026-06-20
81,쌩메구로 성균관대역점,경기 수원시 장안구 화산로233번길 42 1층,37.2979863719084,126.970198542403,"맥주,호프",2026-06-20,2026-06-20
82,일월수목원 카페 데이지원,경기 수원시 장안구 일월로 61 방문자센터 일월수목원 1층 일월수목원 카페 데이지원,37.2877810107055,126.976476031701,"카페,디저트",2026-06-20,2026-06-20
83,인성한식부페,경기 수원시 팔달구 수성로157번길 49-8,37.2882372863945,126.988634394458,뷔페,2026-06-20,2026-06-20
84,최고집 원조 수구레,경기 수원시 장안구 서부로 2107 1층 최고집 원조 수구레,37.2968609581344,126.970125112355,한식,2026-06-20,2026-06-20
85,주량 성대직영점,경기 수원시 장안구 서부로2105번길 26-8 101호,37.2972709537996,126.969163905778,요리주점,2026-06-20,2026-06-20
86,통큰어부,경기 수원시 장안구 화산로233번길 42 2층,37.2979863719084,126.970198542403,생선회,2026-06-20,2026-06-20
87,기똥찬고기,경기 수원시 장안구 서부로2123번길 16 기똥찬고기,37.2983927627994,126.970290980263,"육류,고기요리",2026-06-20,2026-06-20
88,청년밥상,경기 수원시 장안구 서부로2136번길 10 1층 청년밥상,37.2986025695764,126.972725300836,한식,2026-06-20,2026-06-20
89,밀숲 수원성대점,경기 수원시 장안구 율전로98번길 18-12 1층,37.2977477243454,126.969286422447,"칼국수,만두",2026-06-20,2026-06-20
90,버거킹 서수원이마트점,경기 수원시 권선구 수인로 291 서수원버스터미널,37.28262996578,126.97014551047,햄버거,2026-06-20,2026-06-20
91,천년풍천장어,경기 수원시 권선구 수인로 273,37.2817862549488,126.972468408703,"장어,먹장어요리",2026-06-20,2026-06-20
92,일성 율전동본점,경기 수원시 장안구 율전로 92 1층 105호,37.297582606993,126.968761133003,이자카야,2026-06-20,2026-06-20
93,김밥천국 천천점,경기 수원시 장안구 만석로19번길 11-2,37.2960836309819,126.983431181687,분식,2026-06-20,2026-06-20
94,수성복국,경기 수원시 권선구 수인로 344-9,37.2871245907033,126.968306143502,복어요리,2026-06-20,2026-06-20
95,팔당냉면 수원정자점,경기 수원시 장안구 대평로 140 2층,37.3002591781801,126.990428200444,냉면,2026-06-20,2026-06-20
96,초초이,경기 수원시 장안구 정자로20번길 24-13 1층,37.2988302774591,126.978986855248,베이커리,2026-06-20,2026-06-20
97,메가MGC커피 수원율현점,경기 수원시 팔달구 일월로22번길 11 1층 메가MGC커피,37.2857666506023,126.980448468742,카페,2026-06-20,2026-06-20
98,메가MGC커피 수원성균관대점,경기 수원시 장안구 서부로 2125 율전빌딩 1층,37.2983963728522,126.971041915255,카페,2026-06-20,2026-06-20
99,하우짓블랙,경기 수원시 장안구 화산로213번길 25 2층 하우짓 블랙,37.2985021205911,126.972408292165,"카페,디저트",2026-06-20,2026-06-20
100,드럼통돌구이,경기 수원시 장안구 율전로108번길 9,37.2991441082486,126.969819568432,닭갈비,2026-06-20,2026-06-20
101,육회바른연어 수원성대점,경기 수원시 장안구 서부로2126번길 24,37.2978526624163,126.972837793951,요리주점,2026-06-20,2026-06-20
102,BHC치킨 성대푸르지오점,경기 수원시 장안구 일월로66번길 24 1층,37.289005517424,126.978838922906,"치킨,닭강정",2026-06-20,2026-06-20
103,롯데리아 롯데마트수원천천,경기 수원시 장안구 만석로19번길 25-10 롯데마트 수원천천점 1층,37.2964134196466,126.982250485114,햄버거,2026-06-20,2026-06-20
104,우리소양평해장국,경기 수원시 장안구 서부로 2179,37.3029059997766,126.972680208365,감자탕,2026-06-20,2026-06-20
105,채상궁 수원본점,경기 수원시 팔달구 수성로157번길 5-7 1층,37.2861875207305,126.989696421604,샤브샤브,2026-06-20,2026-06-20
106,쌉니다 미소마트,경기 수원시 팔달구 화산로6번길 15-1 1층,37.2855650478029,126.986639029443,요리주점,2026-06-20,2026-06-20
107,지장수본가전주콩나물국밥 2호점,경기 수원시 장안구 서부로2123번길 29,37.2982921701089,126.969438012282,국밥,2026-06-20,2026-06-20
108,투썸플레이스 수원천천점,경기 수원시 장안구 만석로19번길 29 부강프라자 201호,37.2966088037977,126.983135345754,카페,2026-06-20,2026-06-20
109,사랑해베이글 수원천천점,경기 수원시 장안구 덕영대로511번길 15 사랑해베이글 수원 천천점,37.2988367402572,126.979358714643,"카페,디저트",2026-06-20,2026-06-20
110,담은샤브칼국수 직영1호점,경기 수원시 장안구 화산로233번길 60 1층 정성담은샤브칼국수,37.2972483653159,126.969971909394,"칼국수,만두",2026-06-20,2026-06-20
111,비사이드 수원성대점,경기 수원시 장안구 정자로 6 비사이드,37.2997182155834,126.977815181045,"카페,디저트",2026-06-20,2026-06-20
112,오서산콩국수 수원점,경기 수원시 장안구 정자로32번길 12 1층,37.2999047461486,126.980461728103,국수,2026-06-20,2026-06-20
113,미가라멘 성대본점,경기 수원시 장안구 서부로2106번길 38-2 1층,37.2977529712517,126.971909487205,일본식라면,2026-06-20,2026-06-20
114,명가양꼬치,경기 수원시 장안구 서부로2105번길 21,37.2967642916081,126.969129262144,양꼬치,2026-06-20,2026-06-20
115,자명문,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,37.2991441082486,126.969819568432,"카페,디저트",2026-06-20,2026-06-20
116,하삼동커피 수원성균관대점,경기 수원시 장안구 서부로2126번길 17 A동 상가3호,37.2980374691195,126.972855322199,카페,2026-06-20,2026-06-20
117,천포 천천점,경기 수원시 장안구 덕영대로511번길 29-15,37.2996223364975,126.979777961946,낙지요리,2026-06-20,2026-06-20
118,메가MGC커피 수원천천푸르지오점,경기 수원시 장안구 정자천로13번길 13-1,37.2892940042891,126.97869618364,카페,2026-06-20,2026-06-20
119,수해복마라탕 성대점,경기 수원시 장안구 서부로2105번길 7 1층,37.2965434825306,126.969613197105,중식당,2026-06-20,2026-06-20
120,팔각도 수원정자점,"경기 수원시 장안구 대평로90번길 32 1층 119호, 120호, 126호",37.2964756282135,126.994613989524,닭갈비,2026-06-20,2026-06-20
121,런던베이글뮤지엄 수원,"경기 수원시 장안구 수성로 175 , 2층",37.2874453391147,126.991574559571,베이커리,2026-06-20,2026-06-20
122,오도르 케이크,경기 수원시 권선구 일월천로4번길 74 성원아파트 상가건물 205호 오도르케이크,37.2835637295517,126.97573760637,케이크전문,2026-06-20,2026-06-20
123,뚜레쥬르 수원천천푸르지오점,경기 수원시 장안구 정자천로13번길 15 1층 뚜레쥬르 수원천천푸르지오점,37.2894625705789,126.978596556893,베이커리,2026-06-20,2026-06-20
124,컴포즈커피 수원성균관대점,경기 수원시 장안구 서부로 2123 1층 102호,37.2981236874408,126.970912879046,카페,2026-06-20,2026-06-20
125,더맛있는족발보쌈 수원천천점,경기 수원시 장안구 덕영대로511번길 37-21 1층,37.2999542292347,126.980018904066,"족발,보쌈",2026-06-20,2026-06-20
126,우지커피 수원성균관대점,경기 수원시 장안구 서부로 2129-1 1층 107호 우지커피 수원성균관대점,37.2985565326967,126.971228855238,"카페,디저트",2026-06-20,2026-06-20
127,낙지대감 화서역점,경기 수원시 팔달구 수성로157번길 27-21 1층,37.2876099843297,126.988644299885,낙지요리,2026-06-20,2026-06-20
128,아웃백스테이크하우스 수원스타필드점,경기 수원시 장안구 수성로 175 스타필드 수원점 7층,37.2874453391147,126.991574559571,패밀리레스토랑,2026-06-20,2026-06-20
129,라잌댓,경기 수원시 장안구 덕영대로445번길 12,37.3012246031111,126.972025386265,"카페,디저트",2026-06-20,2026-06-20
130,오리엔탈가든,경기 수원시 장안구 만석로19번길 11-7 111호 대일,37.2955003927986,126.983454542856,아시아음식,2026-06-20,2026-06-20
131,미진축산 수원성대점,경기 수원시 장안구 율전로108번길 23 1층,37.2989202972184,126.97056089972,"육류,고기요리",2026-06-20,2026-06-20
132,스시사부,경기 수원시 장안구 서부로2123번길 27 1층 103호,37.2982890634038,126.969620277208,"초밥,롤",2026-06-20,2026-06-20
133,휘미관,경기 수원시 장안구 서부로2105번길 29 1층 휘미관,37.2968062200511,126.968559456654,한식,2026-06-20,2026-06-20
134,양지촌,경기 수원시 장안구 화산로213번길 25 1층 양지촌,37.2985021205911,126.972408292165,양꼬치,2026-06-20,2026-06-20
135,마라영웅 수원장안점,경기 수원시 장안구 만석로5번길 12-10 2층 마라영웅 수원장안점,37.2954948441968,126.983084729416,중식당,2026-06-20,2026-06-20
136,어슬청담 수원스타필드,경기 수원시 장안구 수성로 175 2층 2328호,37.2874453391147,126.991574559571,한식,2026-06-20,2026-06-20
137,홍구등갈비 본점,경기 수원시 장안구 서부로2168번길 5-13 1층,37.3024017615232,126.973390535911,"육류,고기요리",2026-06-20,2026-06-20
138,산들쌈채,경기 수원시 권선구 일월천로4번길 13,37.2825176953547,126.973151262854,한식,2026-06-20,2026-06-20
139,윤실장초밥 성대점,경기 수원시 장안구 서부로2105번길 13 101호,37.2966829161648,126.969430994007,"초밥,롤",2026-06-20,2026-06-20
140,동대문엽기떡볶이 수원성대점,경기 수원시 장안구 서부로 2132 1층 동대문엽기떡볶이,37.2986108174668,126.972159443444,분식,2026-06-20,2026-06-20
141,혼마초밥,경기 수원시 팔달구 덕영대로697번길 7 아트프라자 1층 혼마초밥,37.2848571193497,126.990567727133,"초밥,롤",2026-06-20,2026-06-20
142,테라커피 수원화서점,경기 수원시 팔달구 일월로42번길 14-28 1층 테라커피 수원화서점,37.2859962096647,126.980293916399,"카페,디저트",2026-06-20,2026-06-20
143,롯데리아 수원율현점,경기 수원시 팔달구 일월로22번길 4,37.2852252958707,126.980384556899,햄버거,2026-06-20,2026-06-20
144,장궁순대국 본점,경기 수원시 권선구 수인로 261 1층 장궁순대국,37.281100695475,126.97343863088,"순대,순댓국",2026-06-20,2026-06-20
145,모도리육회 일월본점,경기 수원시 권선구 일월천로15번길 6-5 1층,37.2841386956004,126.972890761816,"육류,고기요리",2026-06-20,2026-06-20
146,강테이블,경기 수원시 팔달구 일월로42번길 14-6 1층,37.2867831381887,126.979534770763,이탈리아음식,2026-06-20,2026-06-20
147,면식당 수원성균관대점,경기 수원시 장안구 서부로2106번길 18 2층,37.2970004094956,126.971467537067,일식당,2026-06-20,2026-06-20
148,나나쓰플라워케이크,경기 수원시 장안구 일월로82번길 19-9 101호,37.2905495228728,126.977306098733,케이크전문,2026-06-20,2026-06-20
149,사루야 성대점,경기 수원시 장안구 율전로98번길 6-6 1층,37.2977756713738,126.968997904093,이자카야,2026-06-20,2026-06-20
150,벽돌해피푸드 스타필드 수원점,경기 수원시 장안구 수성로 175 2층 2322호,37.2874453391147,126.991574559571,중식당,2026-06-20,2026-06-20
151,바울아저씨 수원화서점,경기 수원시 팔달구 정자천로14번길 56 성보빌딩 109-1호,37.2864250148784,126.980299104735,피자,2026-06-20,2026-06-20
152,키와마루아지 성균관대점,경기 수원시 장안구 서부로2105번길 26-3 1층 키와마루아지,37.297009891037,126.968697533527,일본식라면,2026-06-20,2026-06-20
153,대성장,경기 수원시 장안구 서부로2181번길 46-6,37.3033210033902,126.97037623182,중식당,2026-06-20,2026-06-20
